latitude,longitude,species
35.797808,-105.777389,Ochotona princeps
39.798081,-105.777506,Ochotona princeps
39.798081,-105.777506,Ochotona princeps
39.798081,-105.777506,Ochotona princeps
39.798081,-105.777506,Ochotona princeps
39.798081,-105.777506,Ochotona princeps
39.798081,-105.777506,Ochotona princeps
35.78888478,-105.7778477,Ochotona princeps
35.78888478,-105.7778477,Ochotona princeps
39.801675,-105.779678,Ochotona princeps
39.801694,-105.779778,Ochotona princeps
39.801694,-105.779844,Ochotona princeps
39.801694,-105.779844,Ochotona princeps
39.801744,-105.779958,Ochotona princeps
35.794138,-105.780544,Ochotona princeps
35.793831,-105.780856,Ochotona princeps
39.802386,-105.781839,Ochotona princeps
39.802503,-105.782044,Ochotona princeps
35.78659681,-105.7820518,Ochotona princeps
35.78659681,-105.7820518,Ochotona princeps
39.657259,-105.784003,Ochotona princeps
35.7927,-105.78439,Ochotona princeps
40.377283,-105.786341,Ochotona princeps
39.798683,-105.786808,Ochotona princeps
39.8,-105.788475,Ochotona princeps
39.799981,-105.788669,Ochotona princeps
39.799981,-105.788669,Ochotona princeps
39.799981,-105.788669,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.79062,-105.789473,Ochotona princeps
35.7898,-105.78982,Ochotona princeps
39.800722,-105.789914,Ochotona princeps
39.801289,-105.790144,Ochotona princeps
39.801047,-105.790261,Ochotona princeps
39.801047,-105.790261,Ochotona princeps
40.436277,-105.790467,Ochotona princeps
39.801806,-105.790844,Ochotona princeps
39.801417,-105.790878,Ochotona princeps
39.801417,-105.790878,Ochotona princeps
39.801322,-105.793538,Ochotona princeps
35.78582776,-105.7953422,Ochotona princeps
35.785862,-105.79557,Ochotona princeps
35.785862,-105.79557,Ochotona princeps
35.785863,-105.795574,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.672199,-105.797549,Ochotona princeps
39.694431,-105.800564,Ochotona princeps
39.694431,-105.800564,Ochotona princeps
39.694431,-105.800564,Ochotona princeps
40.410676,-105.807674,Ochotona princeps
40.419736,-105.80837,Ochotona princeps
40.420239,-105.809656,Ochotona princeps
39.632647,-105.812464,Ochotona princeps
39.632647,-105.812464,Ochotona princeps
40.416595,-105.814384,Ochotona princeps
39.60711,-105.840881,Ochotona princeps
39.606304,-105.841264,Ochotona princeps
40.401778,-105.848665,Ochotona princeps
40.405766,-105.849066,Ochotona princeps
40.37507064,-105.8626504,Ochotona princeps
40.37507064,-105.8626504,Ochotona princeps
39.66361,-105.87861,Ochotona princeps
39.66361,-105.87861,Ochotona princeps
39.66361,-105.87861,Ochotona princeps
39.66361,-105.87861,Ochotona princeps
39.66361,-105.87861,Ochotona princeps
39.66361,-105.87861,Ochotona princeps
39.66361,-105.87861,Ochotona princeps
39.66361,-105.87861,Ochotona princeps
39.66361,-105.87861,Ochotona princeps
39.66361,-105.87861,Ochotona princeps
39.66361,-105.87861,Ochotona princeps
39.66361,-105.87861,Ochotona princeps
39.66361,-105.87861,Ochotona princeps
39.66361,-105.87861,Ochotona princeps
39.66361,-105.87861,Ochotona princeps
39.66361,-105.87861,Ochotona princeps
39.66361,-105.87861,Ochotona princeps
39.66361,-105.87861,Ochotona princeps
39.66361,-105.87861,Ochotona princeps
39.66351273,-105.8790072,Ochotona princeps
39.66351273,-105.8790072,Ochotona princeps
39.66351273,-105.8790072,Ochotona princeps
39.66351273,-105.8790072,Ochotona princeps
39.66351273,-105.8790072,Ochotona princeps
39.66351273,-105.8790072,Ochotona princeps
39.66351273,-105.8790072,Ochotona princeps
39.663598,-105.879178,Ochotona princeps
39.663598,-105.879178,Ochotona princeps
39.663598,-105.879178,Ochotona princeps
39.663598,-105.879178,Ochotona princeps
39.663598,-105.879178,Ochotona princeps
39.663598,-105.879178,Ochotona princeps
39.663598,-105.879178,Ochotona princeps
39.663598,-105.879178,Ochotona princeps
39.663598,-105.879178,Ochotona princeps
39.661429,-105.882261,Ochotona princeps
40.482775,-105.884033,Ochotona princeps
39.662937,-105.884843,Ochotona princeps
39.77361,-105.88861,Ochotona princeps
39.77361,-105.88861,Ochotona princeps
39.77361,-105.88861,Ochotona princeps
39.77361,-105.88861,Ochotona princeps
39.77351288,-105.8889995,Ochotona princeps
39.77351288,-105.8889995,Ochotona princeps
39.77351288,-105.8889995,Ochotona princeps
